1000.0,0.0,1200.45,51.85776219622285
75.76,14.379930458802642,93.91,18.927279255085764
57.45,7.299828765114974,73.85,9.97534460557629
52.56,6.9113240410213725,67.95,9.490389876079908
49.36,5.164339260738009,63.08,8.08786745687638
48.45,5.485207379853564,61.14,7.776914555271905
46.29,4.769266190935457,60.31,8.271269551888633
45.84,4.795247647410924,57.32,7.228941831277936
46.68,4.762100376934531,58.38,6.859708448615
46.42,5.457435295081381,57.97,7.696044438541139
47.06,4.916950274306219,62.86,8.804566996735273
48.58,6.662101770462531,60.46,9.290231428764303
50.18,7.732244176175504,61.72,10.502456855421974
54.44,8.076286275262907,67.4,10.41633332799983
56.26,8.75627774799315,69.35,11.349339187811774
63.18,13.590717420357178,77.27,16.903168342059427
67.17,16.179650799692805,85.68,20.239505922823312
82.31,27.85774398618811,105.94,36.479259860912755
110.55,53.83741728575025,139.04,69.8442438573144
161.12,100.33995016941158,203.53,129.89999653579673
260.9,199.40739705437207,344.41,264.6928066646315
560.4,297.72084240106534,715.74,379.62132764111135
710.16,336.10970589972555,947.5,451.12258866077633
933.74,196.33418551031812,1213.08,259.8774972943983
925.43,225.85744419876886,1231.86,309.65932958656356
